name,SMILES,CAS,Tc,Pc,Vc,omega,dipole,MW
2-Nitropropane,CC(C)[N+](=O)[O-],79-46-9,594,4450000,0.000288,0.384,3.73,89.09318
Nitroethane,CC[N+](=O)[O-],79-24-3,595,4850002,0.000228,0.3156,3.65,75.0666
Propionitrile,CCC#N,107-12-0,561.3,4260000,0.000246,0.318,4.02,55.0785
Ethylene Glycol Ethyl Ether,CCOCCO,110-80-5,569.65,4199921,0.000295,0.6745,0,90.121
"1,4-Dioxane",C1COCCO1,123-91-1,588,5210000,0.000238,0.288,0,88.10512
1-Hexene,CCCCC=C,592-41-6,504,3210000,0.0003551,0.2839,0.339994724,84.15948
1-Octene,CCCCCCC=C,111-66-0,567,2680000,0.000468,0.386,0.3,112.21264
2-Heptanone,CCCCCC(=O)C,110-43-0,611.4,2970000,0.000436,0.425,0,114.18546
2-Pentanone,CCCC(=O)C,107-87-9,561.1,3683000,0.000321,0.3396,2.719987768,86.1323
Butyl Acetate,CCCCOC(=O)C,123-86-4,575.6,3140000,0.000403,0.4345,1.840126632,116.15828
Methyl Acetate,CC(=O)OC,79-20-9,506.5,4750000,0.000228,0.32,1.72,74.07854
Nitromethane,C[N+](=O)[O-],75-52-5,588,6100000,0.000173,0.346,3.46,61.04002
Squalane,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,111-01-3,796,600000,0.00206,1.2135,0,422.81328
2-Butanol,CCC(C)O,78-92-2,536.2,4202000,0.000269,0.576,1.7,74.1216
Diiodomethane,C(I)I,75-11-6,747,5470000,0.000272,0.141,0,267.83552
Methyl Tert-Butyl Ether,CC(C)(C)OC,1634-04-4,497.1,3430000,0.000335,0.267,0,88.14818
1-Chlorobutane,CCCCCl,109-69-3,539.2,4100000,0.000303,0.218,2.05,92.56726
Ethylbenzene,CCC1=CC=CC=C1,100-41-4,617.12,3622400,0.000364828,0.305,0.59,106.165
M-Cresol,CC1=CC(=CC=C1)O,108-39-4,705.8,4360000,0.000337,0.464,1.588900481,108.13782
Hexadecane,CCCCCCCCCCCCCCCC,544-76-3,722.1,1479850,0.001,0.749,0,226.448
N-Methylpyrrolidone,CN1CCCC1=O,872-50-4,721.8,4520000,0.000311,0.3577,0,99.13106
1-Hexanol,CCCCCCO,111-27-3,610.3,3417000,0.000387,0.56,1.649998201,102.17476
1-Nitropropane,CCC[N+](=O)[O-],108-03-2,606,3999997,0.000283,0.3533,3.66,89.09318
"1,1-Dichloroethane",CC(Cl)Cl,75-34-3,523.4,5060000,0.000236,0.248,2.06,98.95916
Methylcyclohexane,CC1CCCCC1,108-87-2,572.2,3470000,0.000367647,0.234,0,98.18606
Methyl Formate,COC=O,107-31-3,487.2,6000000,0.000172,0.252,1.77,60.05196
Propyl Acetate,CCCOC(=O)C,109-60-4,549.7,3360000,0.000345,0.392,1.790001319,102.1317
Cyclopentane,C1CCCC1,287-92-3,511.72,4582800,0.000255102,0.202,0,70.1329
2-Methylpentane,CCCC(C)C,107-83-5,497.7,3040000,0.000368324,0.2797,0,86.178
1-Pentene,CCCC=C,109-67-1,465.74,3598000,0.000289855,0.233,0.39,70.1329
"2,2-Dimethylbutane",CCC(C)(C)C,75-83-2,490,3138000,0.000359712,0.23,0,86.17536
"2,2-Dimethylpentane",CCCC(C)(C)C,590-35-2,520.5,2770000,0.000416,0.289,0,100.20194
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,565-75-3,566.4,2730000,0.00046,0.317,0,114.22852
"2,3-Dimethylbutane",CC(C)C(C)C,79-29-8,500.6,3161000,0.000357143,0.247,0.2,86.17536
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,519.8,2740000,0.000418,0.306,0,100.20194
"2,5-Dimethylhexane",CC(C)CCC(C)C,592-13-2,550,2490000,0.000482,0.352,0,114.22852
2-Butanone,CCC(=O)C,78-93-3,536.7,4207000,0.000267,0.329,2.78,72.10572
3-Methylpentane,CCC(C)CC,96-14-0,506,3184500,0.000359712,0.268,0,86.17536
Acetaldehyde,CC=O,75-07-0,466,7500000,0.000154,0.303,2.69,44.05256
Cumene,CC(C)C1=CC=CC=C1,98-82-8,631,3209000,0.000423,0.3261,0.8,120.19158
Cycloheptane,C1CCCCCC1,291-64-5,604.2,3820000,0.000353,0.2384,0,98.18606
Cyclooctane,C1CCCCCCC1,292-64-8,647.2,3560000,0.00041,0.2536,0,112.21264
Dioxane,C1COCCO1,123-91-1,588,5210000,0.000238,0.288,0,88.10512
Ethyl Iodide,CCI,75-03-6,565,5542478,0.00024,0.161,0,155.96557
Ethylcyclohexane,CCC1CCCCC1,1678-91-7,606.9,3270000,0.000431,0.2444,0,112.21264
Isopentane,CCC(C)C,78-78-4,460.35,3378000,0.000305717,0.2274,0.13,72.151
Methyl Iodide,CI,74-88-4,528,6586125,0.00019,0.1421,1.62,141.93899
Methylcyclopentane,CC1CCCC1,96-37-7,553.8,4080000,0.000308,0.239,0,84.15948
N-Butane,CCCC,106-97-8,425.125,3796000,0.000254922,0.201,0,58.124
N-Butylbenzene,CCCCC1=CC=CC=C1,104-51-8,660.5,2890000,0.000497,0.392,0.4,134.21816
Propane,CCC,74-98-6,369.89,4251200,0.0002,0.1521,0.08,44.097
